case_id,depth,pos,contributor_count,interaction_observed,u1_charge_base8,state_base8
electron_electron,5,2,16,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,5,3,16,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,5,4,16,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,5,5,14,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,5,6,14,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,5,7,10,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,5,8,10,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,5,9,5,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,5,10,5,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,6,-6,6,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,6,-5,6,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,6,-4,12,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,6,-3,12,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,6,-2,17,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,6,-1,17,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,6,0,20,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,6,1,20,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,6,2,21,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,6,3,21,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,6,4,20,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,6,5,20,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,6,6,17,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,6,7,17,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,6,8,12,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,6,9,12,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,6,10,6,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,6,11,6,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,7,-7,7,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,7,-6,7,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,7,-5,14,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,7,-4,14,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,7,-3,20,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,7,-2,20,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,7,-1,24,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,7,0,24,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,7,1,26,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,7,2,26,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,7,3,26,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,7,4,26,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,7,5,24,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,7,6,24,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,7,7,20,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,7,8,20,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,7,9,14,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,7,10,14,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,7,11,7,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,7,12,7,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,-8,8,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,-7,8,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,-6,16,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,-5,16,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,-4,23,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,-3,23,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,-2,28,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,-1,28,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,0,31,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,1,31,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,2,32,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,3,32,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,4,31,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,5,31,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,6,28,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,7,28,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,8,23,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,9,23,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,10,16,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,11,16,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,12,8,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,8,13,8,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,-9,9,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,-8,9,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,-7,18,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,-6,18,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,-5,26,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,-4,26,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,-3,32,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,-2,32,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,-1,36,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,0,36,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,1,38,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,2,38,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,3,38,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,4,38,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,5,36,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,6,36,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,7,32,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,8,32,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,9,26,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,10,26,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,11,18,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,9,12,18,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
