source_motif_id,perturbation_id,attractor_rep_id,attractor_class,period,cycle_found
sd_vacuum_omega_dag,left_hit_e5,novel::3205571d9958,novel,4,True
sd_vacuum_omega_dag,left_hit_e6,novel::7aca3a56a41d,novel,4,True
sd_vacuum_omega_dag,left_hit_e7,sd_vacuum_omega_dag,known,4,True
sd_vacuum_omega_dag,right_hit_e1,novel::18198d2cbbbf,novel,4,True
sd_vacuum_omega_dag,right_hit_e2,novel::f1e628d65ec4,novel,4,True
sd_vacuum_omega_dag,right_hit_e3,novel::76b5b692caae,novel,4,True
sd_vacuum_omega_dag,right_hit_e4,novel::76b5b692caae,novel,4,True
sd_vacuum_omega_dag,right_hit_e5,novel::f1e628d65ec4,novel,4,True
sd_vacuum_omega_dag,right_hit_e6,novel::18198d2cbbbf,novel,4,True
sd_vacuum_omega_dag,right_hit_e7,sd_vacuum_omega_dag,known,4,True
su_double_12,left_hit_e1,sd_double_13,known,4,True
su_double_12,left_hit_e2,sd_double_23,known,4,True
su_double_12,left_hit_e3,novel::a210f9d946ec,novel,4,True
su_double_12,left_hit_e4,novel::a210f9d946ec,novel,4,True
su_double_12,left_hit_e5,sd_double_23,known,4,True
su_double_12,left_hit_e6,sd_double_13,known,4,True
su_double_12,left_hit_e7,su_double_12,known,4,True
su_double_12,right_hit_e1,sd_double_13,known,4,True
su_double_12,right_hit_e2,sd_double_23,known,4,True
su_double_12,right_hit_e3,novel::8f3eadb376bc,novel,4,True
su_double_12,right_hit_e4,novel::8f3eadb376bc,novel,4,True
su_double_12,right_hit_e5,sd_double_23,known,4,True
su_double_12,right_hit_e6,sd_double_13,known,4,True
su_double_12,right_hit_e7,su_double_12,known,4,True
su_double_13,left_hit_e1,sd_double_12,known,4,True
su_double_13,left_hit_e2,novel::a210f9d946ec,novel,4,True
su_double_13,left_hit_e3,sd_double_23,known,4,True
su_double_13,left_hit_e4,sd_double_23,known,4,True
su_double_13,left_hit_e5,novel::a210f9d946ec,novel,4,True
su_double_13,left_hit_e6,sd_double_12,known,4,True
su_double_13,left_hit_e7,su_double_13,known,4,True
su_double_13,right_hit_e1,sd_double_12,known,4,True
su_double_13,right_hit_e2,novel::8f3eadb376bc,novel,4,True
su_double_13,right_hit_e3,sd_double_23,known,4,True
su_double_13,right_hit_e4,sd_double_23,known,4,True
su_double_13,right_hit_e5,novel::8f3eadb376bc,novel,4,True
su_double_13,right_hit_e6,sd_double_12,known,4,True
su_double_13,right_hit_e7,su_double_13,known,4,True
su_double_23,left_hit_e1,novel::a210f9d946ec,novel,4,True
su_double_23,left_hit_e2,sd_double_12,known,4,True
su_double_23,left_hit_e3,sd_double_13,known,4,True
su_double_23,left_hit_e4,sd_double_13,known,4,True
su_double_23,left_hit_e5,sd_double_12,known,4,True
su_double_23,left_hit_e6,novel::a210f9d946ec,novel,4,True
su_double_23,left_hit_e7,su_double_23,known,4,True
su_double_23,right_hit_e1,novel::8f3eadb376bc,novel,4,True
su_double_23,right_hit_e2,sd_double_12,known,4,True
su_double_23,right_hit_e3,sd_double_13,known,4,True
su_double_23,right_hit_e4,sd_double_13,known,4,True
su_double_23,right_hit_e5,sd_double_12,known,4,True
su_double_23,right_hit_e6,novel::8f3eadb376bc,novel,4,True
su_double_23,right_hit_e7,su_double_23,known,4,True
su_single_1,left_hit_e1,novel::35178d1a4809,novel,4,True
su_single_1,left_hit_e2,sd_single_3,known,4,True
su_single_1,left_hit_e3,sd_single_2,known,4,True
su_single_1,left_hit_e4,sd_single_2,known,4,True
su_single_1,left_hit_e5,sd_single_3,known,4,True
su_single_1,left_hit_e6,novel::35178d1a4809,novel,4,True
su_single_1,left_hit_e7,su_single_1,known,4,True
su_single_1,right_hit_e1,novel::c85f462d2564,novel,4,True
su_single_1,right_hit_e2,sd_single_3,known,4,True
su_single_1,right_hit_e3,sd_single_2,known,4,True
su_single_1,right_hit_e4,sd_single_2,known,4,True
su_single_1,right_hit_e5,sd_single_3,known,4,True
su_single_1,right_hit_e6,novel::c85f462d2564,novel,4,True
su_single_1,right_hit_e7,su_single_1,known,4,True
su_single_2,left_hit_e1,sd_single_3,known,4,True
su_single_2,left_hit_e2,novel::35178d1a4809,novel,4,True
su_single_2,left_hit_e3,sd_single_1,known,4,True
su_single_2,left_hit_e4,sd_single_1,known,4,True
su_single_2,left_hit_e5,novel::35178d1a4809,novel,4,True
su_single_2,left_hit_e6,sd_single_3,known,4,True
su_single_2,left_hit_e7,su_single_2,known,4,True
su_single_2,right_hit_e1,sd_single_3,known,4,True
su_single_2,right_hit_e2,novel::c85f462d2564,novel,4,True
su_single_2,right_hit_e3,sd_single_1,known,4,True
su_single_2,right_hit_e4,sd_single_1,known,4,True
su_single_2,right_hit_e5,novel::c85f462d2564,novel,4,True
su_single_2,right_hit_e6,sd_single_3,known,4,True
su_single_2,right_hit_e7,su_single_2,known,4,True
su_single_3,left_hit_e1,sd_single_2,known,4,True
su_single_3,left_hit_e2,sd_single_1,known,4,True
su_single_3,left_hit_e3,novel::35178d1a4809,novel,4,True
su_single_3,left_hit_e4,novel::35178d1a4809,novel,4,True
su_single_3,left_hit_e5,sd_single_1,known,4,True
su_single_3,left_hit_e6,sd_single_2,known,4,True
su_single_3,left_hit_e7,su_single_3,known,4,True
su_single_3,right_hit_e1,sd_single_2,known,4,True
su_single_3,right_hit_e2,sd_single_1,known,4,True
su_single_3,right_hit_e3,novel::c85f462d2564,novel,4,True
su_single_3,right_hit_e4,novel::c85f462d2564,novel,4,True
su_single_3,right_hit_e5,sd_single_1,known,4,True
su_single_3,right_hit_e6,sd_single_2,known,4,True
su_single_3,right_hit_e7,su_single_3,known,4,True
su_triple_electron,left_hit_e1,novel::04f57cdb232f,novel,4,True
su_triple_electron,left_hit_e2,novel::c851216139a7,novel,4,True
su_triple_electron,left_hit_e3,novel::780a5427ef4d,novel,4,True
su_triple_electron,left_hit_e4,novel::780a5427ef4d,novel,4,True
su_triple_electron,left_hit_e5,novel::c851216139a7,novel,4,True
su_triple_electron,left_hit_e6,novel::04f57cdb232f,novel,4,True
su_triple_electron,left_hit_e7,left_spinor_electron_ideal,known,4,True
su_triple_electron,right_hit_e1,novel::4a811db90e36,novel,4,True
su_triple_electron,right_hit_e2,novel::48c85c2b9f55,novel,4,True
su_triple_electron,right_hit_e3,novel::56501b585dd8,novel,4,True
su_triple_electron,right_hit_e4,novel::56501b585dd8,novel,4,True
su_triple_electron,right_hit_e5,novel::48c85c2b9f55,novel,4,True
su_triple_electron,right_hit_e6,novel::4a811db90e36,novel,4,True
su_triple_electron,right_hit_e7,left_spinor_electron_ideal,known,4,True
su_vacuum_omega,left_hit_e1,novel::18198d2cbbbf,novel,4,True
su_vacuum_omega,left_hit_e2,novel::f1e628d65ec4,novel,4,True
su_vacuum_omega,left_hit_e3,novel::76b5b692caae,novel,4,True
su_vacuum_omega,left_hit_e4,novel::76b5b692caae,novel,4,True
su_vacuum_omega,left_hit_e5,novel::f1e628d65ec4,novel,4,True
su_vacuum_omega,left_hit_e6,novel::18198d2cbbbf,novel,4,True
su_vacuum_omega,left_hit_e7,su_vacuum_omega,known,4,True
su_vacuum_omega,right_hit_e1,novel::7aca3a56a41d,novel,4,True
su_vacuum_omega,right_hit_e2,novel::3205571d9958,novel,4,True
su_vacuum_omega,right_hit_e3,novel::4acc1f2e8c41,novel,4,True
su_vacuum_omega,right_hit_e4,novel::4acc1f2e8c41,novel,4,True
su_vacuum_omega,right_hit_e5,novel::3205571d9958,novel,4,True
su_vacuum_omega,right_hit_e6,novel::7aca3a56a41d,novel,4,True
su_vacuum_omega,right_hit_e7,su_vacuum_omega,known,4,True
vector_electron_favored,left_hit_e1,novel::c2324413f969,novel,4,True
vector_electron_favored,left_hit_e2,novel::fd44b649c016,novel,4,True
vector_electron_favored,left_hit_e3,novel::138693e979f4,novel,4,True
vector_electron_favored,left_hit_e4,novel::841d38bc329c,novel,4,True
vector_electron_favored,left_hit_e5,novel::87a5f076b5f4,novel,4,True
vector_electron_favored,left_hit_e6,novel::06c6d445d030,novel,4,True
vector_electron_favored,left_hit_e7,vector_electron_favored,known,4,True
vector_electron_favored,right_hit_e1,novel::06c6d445d030,novel,4,True
vector_electron_favored,right_hit_e2,novel::87a5f076b5f4,novel,4,True
vector_electron_favored,right_hit_e3,novel::841d38bc329c,novel,4,True
vector_electron_favored,right_hit_e4,novel::841d38bc329c,novel,4,True
vector_electron_favored,right_hit_e5,novel::87a5f076b5f4,novel,4,True
vector_electron_favored,right_hit_e6,novel::06c6d445d030,novel,4,True
vector_electron_favored,right_hit_e7,vector_electron_favored,known,4,True
vector_fano_line_l1,left_hit_e1,novel::c2324413f969,novel,4,True
vector_fano_line_l1,left_hit_e2,novel::fd44b649c016,novel,4,True
vector_fano_line_l1,left_hit_e3,novel::138693e979f4,novel,4,True
vector_fano_line_l1,left_hit_e4,novel::841d38bc329c,novel,4,True
vector_fano_line_l1,left_hit_e5,novel::87a5f076b5f4,novel,4,True
vector_fano_line_l1,left_hit_e6,novel::06c6d445d030,novel,4,True
vector_fano_line_l1,left_hit_e7,vector_electron_favored,known,4,True
vector_fano_line_l1,right_hit_e1,novel::06c6d445d030,novel,4,True
vector_fano_line_l1,right_hit_e2,novel::87a5f076b5f4,novel,4,True
vector_fano_line_l1,right_hit_e3,novel::841d38bc329c,novel,4,True
vector_fano_line_l1,right_hit_e4,novel::841d38bc329c,novel,4,True
vector_fano_line_l1,right_hit_e5,novel::87a5f076b5f4,novel,4,True
vector_fano_line_l1,right_hit_e6,novel::06c6d445d030,novel,4,True
vector_fano_line_l1,right_hit_e7,vector_electron_favored,known,4,True
vector_fano_line_l2,left_hit_e1,novel::4d0ac8a8deb7,novel,4,True
vector_fano_line_l2,left_hit_e2,novel::49e2506fd5d2,novel,4,True
vector_fano_line_l2,left_hit_e3,novel::9579b8740e14,novel,4,True
vector_fano_line_l2,left_hit_e4,novel::9b74af473e98,novel,4,True
vector_fano_line_l2,left_hit_e5,novel::b7fdd1229cb6,novel,4,True
vector_fano_line_l2,left_hit_e6,novel::c8f79295f5a3,novel,4,True
vector_fano_line_l2,left_hit_e7,vector_fano_line_l2,known,4,True
vector_fano_line_l2,right_hit_e1,novel::c8f79295f5a3,novel,4,True
vector_fano_line_l2,right_hit_e2,novel::49e2506fd5d2,novel,4,True
vector_fano_line_l2,right_hit_e3,novel::9579b8740e14,novel,4,True
vector_fano_line_l2,right_hit_e4,novel::9579b8740e14,novel,4,True
vector_fano_line_l2,right_hit_e5,novel::49e2506fd5d2,novel,4,True
vector_fano_line_l2,right_hit_e6,novel::c8f79295f5a3,novel,4,True
vector_fano_line_l2,right_hit_e7,vector_fano_line_l2,known,4,True
vector_fano_line_l3,left_hit_e1,novel::f31c5128925b,novel,4,True
vector_fano_line_l3,left_hit_e2,novel::998455aa3368,novel,4,True
vector_fano_line_l3,left_hit_e3,novel::dee186432f97,novel,4,True
vector_fano_line_l3,left_hit_e4,novel::e7bb7cff2e5f,novel,4,True
vector_fano_line_l3,left_hit_e5,novel::cec615c92afa,novel,4,True
vector_fano_line_l3,left_hit_e6,novel::f31c5128925b,novel,4,True
vector_fano_line_l3,left_hit_e7,vector_fano_line_l3,known,4,True
vector_fano_line_l3,right_hit_e1,novel::3d142781cb97,novel,4,True
vector_fano_line_l3,right_hit_e2,novel::998455aa3368,novel,4,True
vector_fano_line_l3,right_hit_e3,novel::dee186432f97,novel,4,True
vector_fano_line_l3,right_hit_e4,novel::e7bb7cff2e5f,novel,4,True
vector_fano_line_l3,right_hit_e5,novel::cec615c92afa,novel,4,True
vector_fano_line_l3,right_hit_e6,novel::b0e10c3678a6,novel,4,True
vector_fano_line_l3,right_hit_e7,novel::d18b8138090c,novel,4,True
vector_fano_line_l4,left_hit_e1,novel::a7d73ea682e5,novel,4,True
vector_fano_line_l4,left_hit_e2,novel::93abe4d5b9c4,novel,4,True
vector_fano_line_l4,left_hit_e3,novel::e9ab7c63fde8,novel,4,True
vector_fano_line_l4,left_hit_e4,novel::2d3ab8dcb9c1,novel,4,True
vector_fano_line_l4,left_hit_e5,novel::b1535846d0d4,novel,4,True
vector_fano_line_l4,left_hit_e6,novel::9da1896ff16c,novel,4,True
vector_fano_line_l4,left_hit_e7,vector_fano_line_l4,known,4,True
vector_fano_line_l4,right_hit_e1,novel::a7d73ea682e5,novel,4,True
vector_fano_line_l4,right_hit_e2,novel::b1535846d0d4,novel,4,True
vector_fano_line_l4,right_hit_e3,novel::e9ab7c63fde8,novel,4,True
vector_fano_line_l4,right_hit_e4,novel::e9ab7c63fde8,novel,4,True
vector_fano_line_l4,right_hit_e5,novel::b1535846d0d4,novel,4,True
vector_fano_line_l4,right_hit_e6,novel::a7d73ea682e5,novel,4,True
vector_fano_line_l4,right_hit_e7,vector_fano_line_l4,known,4,True
vector_fano_line_l5,left_hit_e1,novel::cedf8083f89d,novel,4,True
vector_fano_line_l5,left_hit_e2,novel::194ff305bf83,novel,4,True
vector_fano_line_l5,left_hit_e3,novel::8ddb5e832eaf,novel,4,True
vector_fano_line_l5,left_hit_e4,novel::f7119c945802,novel,4,True
vector_fano_line_l5,left_hit_e5,novel::194ff305bf83,novel,4,True
vector_fano_line_l5,left_hit_e6,novel::4d5e0ed9bf31,novel,4,True
vector_fano_line_l5,left_hit_e7,vector_fano_line_l5,known,4,True
vector_fano_line_l5,right_hit_e1,novel::cedf8083f89d,novel,4,True
vector_fano_line_l5,right_hit_e2,novel::927c0c004a94,novel,4,True
vector_fano_line_l5,right_hit_e3,novel::8ddb5e832eaf,novel,4,True
vector_fano_line_l5,right_hit_e4,novel::f7119c945802,novel,4,True
vector_fano_line_l5,right_hit_e5,novel::6563d12c7c85,novel,4,True
vector_fano_line_l5,right_hit_e6,novel::4d5e0ed9bf31,novel,4,True
vector_fano_line_l5,right_hit_e7,novel::e74cdf72da7e,novel,4,True
vector_fano_line_l6,left_hit_e1,novel::05bf52bf4742,novel,4,True
vector_fano_line_l6,left_hit_e2,novel::dbc20ff646ba,novel,4,True
