clock_id,period,rep_id,canonical_cycle
400,6,0,239|1172|1950|0|987|2129
401,6,0,239|1173|1951|0|986|2128
402,6,0,239|1174|1952|0|985|2127
403,6,0,239|1175|1953|0|984|2126
404,6,0,239|1176|1954|0|983|2125
405,6,0,239|1177|1955|0|982|2124
406,6,0,239|1178|1956|0|981|2123
407,6,0,239|1179|1957|0|980|2122
408,6,0,239|1180|1958|0|979|2121
409,6,0,239|1181|1959|0|978|2120
410,6,0,239|1182|1960|0|977|2119
411,6,0,239|1183|1961|0|976|2118
412,6,0,239|1184|1962|0|975|2117
413,6,0,239|1185|1963|0|974|2116
414,6,0,239|1186|1964|0|973|2115
415,6,0,239|1187|1965|0|972|2114
416,6,0,239|1188|1966|0|971|2113
417,6,0,239|1189|1967|0|970|2112
418,6,0,239|1190|1968|0|969|2111
419,6,0,239|1191|1969|0|968|2110
420,6,0,239|1192|1970|0|967|2109
421,6,0,239|1193|1971|0|966|2108
422,6,0,239|1194|1972|0|965|2107
423,6,0,239|1195|1973|0|964|2106
424,6,0,239|1196|1974|0|963|2105
425,6,0,239|1197|1975|0|962|2104
426,6,0,239|1198|1976|0|961|2103
427,6,1,239|1441|56|1679|1|1496
428,6,1,239|1623|1|1440|56|1678
429,6,2,239|1442|55|1679|2|1495
430,6,2,239|1624|2|1440|55|1677
431,6,3,239|1443|54|1679|3|1494
432,6,3,239|1625|3|1440|54|1676
433,6,4,239|1444|53|1679|4|1493
434,6,4,239|1626|4|1440|53|1675
435,6,5,239|1445|52|1679|5|1492
436,6,5,239|1627|5|1440|52|1674
437,6,6,239|1446|51|1679|6|1491
438,6,6,239|1628|6|1440|51|1673
439,6,7,239|1447|50|1679|7|1490
440,6,7,239|1629|7|1440|50|1672
441,6,8,239|1448|49|1679|8|1489
442,6,8,239|1630|8|1440|49|1671
443,6,9,239|1449|48|1679|9|1488
444,6,9,239|1631|9|1440|48|1670
445,6,10,239|1450|47|1679|10|1487
446,6,10,239|1632|10|1440|47|1669
