s_id,label,class_id,order,q_family_tag,phase_sector_mod3,dominant_dp_left,dominant_dg_left,commute_rate_probe,assoc_nonzero_rate,probe_order_preserve_rate,family_transition_entropy
2255,zeta12^9*(-1/2*e010 + -1/2*e100 + -1/2*e110 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2256,zeta12^9*(-1/2*e010 + -1/2*e100 + -1/2*e110 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2257,zeta12^9*(-1/2*e010 + -1/2*e100 + 1/2*e110 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2259,zeta12^9*(-1/2*e010 + 1/2*e100 + -1/2*e110 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2260,zeta12^9*(-1/2*e010 + 1/2*e100 + -1/2*e110 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2262,zeta12^9*(-1/2*e010 + 1/2*e100 + 1/2*e110 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2263,zeta12^9*(-1/2*e010 + 1/2*e011 + -1/2*e101 + -1/2*e110),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2264,zeta12^9*(-1/2*e010 + 1/2*e011 + 1/2*e101 + -1/2*e110),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2265,zeta12^9*(-1/2*e010 + 1/2*e011 + -1/2*e101 + 1/2*e110),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2268,zeta12^9*(-1/2*e011 + -1/2*e100 + -1/2*e101 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2269,zeta12^9*(-1/2*e011 + -1/2*e100 + 1/2*e101 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2270,zeta12^9*(-1/2*e011 + -1/2*e100 + -1/2*e101 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2271,zeta12^9*(-1/2*e011 + -1/2*e100 + 1/2*e101 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2272,zeta12^9*(-1/2*e011 + 1/2*e100 + -1/2*e101 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2273,zeta12^9*(-1/2*e011 + 1/2*e100 + 1/2*e101 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2274,zeta12^9*(-1/2*e011 + 1/2*e100 + -1/2*e101 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2285,zeta12^9*(1/2*e011 + -1/2*e100 + 1/2*e101 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2286,zeta12^9*(1/2*e011 + -1/2*e100 + -1/2*e101 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2287,zeta12^9*(1/2*e011 + -1/2*e100 + 1/2*e101 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2288,zeta12^9*(1/2*e011 + 1/2*e100 + -1/2*e101 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2289,zeta12^9*(1/2*e011 + 1/2*e100 + 1/2*e101 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2290,zeta12^9*(1/2*e011 + 1/2*e100 + -1/2*e101 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2291,zeta12^9*(1/2*e011 + 1/2*e100 + 1/2*e101 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2294,zeta12^9*(1/2*e010 + -1/2*e011 + 1/2*e101 + -1/2*e110),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2295,zeta12^9*(1/2*e010 + -1/2*e011 + -1/2*e101 + 1/2*e110),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2296,zeta12^9*(1/2*e010 + -1/2*e011 + 1/2*e101 + 1/2*e110),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2297,zeta12^9*(1/2*e010 + -1/2*e100 + -1/2*e110 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2299,zeta12^9*(1/2*e010 + -1/2*e100 + 1/2*e110 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2300,zeta12^9*(1/2*e010 + -1/2*e100 + 1/2*e110 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2302,zeta12^9*(1/2*e010 + 1/2*e100 + -1/2*e110 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2303,zeta12^9*(1/2*e010 + 1/2*e100 + 1/2*e110 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2304,zeta12^9*(1/2*e010 + 1/2*e100 + 1/2*e110 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2305,zeta12^9*(1/2*e010 + 1/2*e011 + -1/2*e101 + -1/2*e110),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2306,zeta12^9*(1/2*e010 + 1/2*e011 + 1/2*e101 + -1/2*e110),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2308,zeta12^9*(1/2*e010 + 1/2*e011 + 1/2*e101 + 1/2*e110),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2313,zeta12^9*(1/2*e001 + -1/2*e010 + -1/2*e100 + 1/2*e101),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2314,zeta12^9*(1/2*e001 + -1/2*e010 + 1/2*e100 + -1/2*e101),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2315,zeta12^9*(1/2*e001 + -1/2*e010 + 1/2*e100 + 1/2*e101),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2316,zeta12^9*(1/2*e001 + -1/2*e010 + 1/2*e011 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2319,zeta12^9*(1/2*e001 + -1/2*e011 + -1/2*e100 + 1/2*e110),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2320,zeta12^9*(1/2*e001 + -1/2*e011 + 1/2*e100 + -1/2*e110),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
