clock_id,period,rep_id,canonical_cycle
101,4,0,239|544|0|655
102,4,0,239|545|0|654
103,4,0,239|546|0|653
104,4,0,239|547|0|652
105,4,0,239|548|0|651
106,4,0,239|549|0|650
107,4,0,239|550|0|649
108,4,0,239|551|0|648
109,4,0,239|552|0|647
110,4,0,239|553|0|646
111,4,0,239|554|0|645
112,4,0,239|555|0|644
113,4,0,239|556|0|643
114,4,0,239|557|0|642
115,4,0,239|558|0|641
116,4,0,239|559|0|640
117,4,0,239|560|0|639
118,4,0,239|561|0|638
119,4,0,239|562|0|637
120,4,0,239|563|0|636
121,4,0,239|564|0|635
122,4,0,239|565|0|634
123,4,0,239|566|0|633
124,4,0,239|567|0|632
125,4,0,239|568|0|631
126,4,0,239|569|0|630
127,4,0,239|570|0|629
128,4,0,239|571|0|628
129,4,0,239|572|0|627
130,4,0,239|573|0|626
131,4,0,239|574|0|625
132,4,0,239|575|0|624
133,4,0,239|576|0|623
134,4,0,239|577|0|622
135,4,0,239|578|0|621
136,4,0,239|579|0|620
137,4,0,239|580|0|619
138,4,0,239|581|0|618
139,4,0,239|582|0|617
140,4,0,239|583|0|616
141,4,0,239|584|0|615
142,4,0,239|585|0|614
143,4,0,239|586|0|613
144,4,0,239|587|0|612
145,4,0,239|588|0|611
146,4,0,239|589|0|610
147,4,0,239|590|0|609
148,4,0,239|591|0|608
149,4,0,239|592|0|607
150,4,0,239|593|0|606
151,4,0,239|594|0|605
152,4,0,239|595|0|604
153,4,0,239|596|0|603
154,4,0,239|597|0|602
155,4,0,239|598|0|601
156,4,0,239|599|0|600
157,4,239,239|240|719|720
158,4,239,239|297|480|902
159,4,239,239|298|480|901
160,4,239,239|299|480|900
161,4,239,239|300|480|899
162,4,239,239|301|480|898
163,4,239,239|302|480|897
164,4,239,239|303|480|896
165,4,239,239|304|480|895
166,4,239,239|305|480|894
167,4,239,239|306|480|893
168,4,239,239|307|480|892
169,4,239,239|308|480|891
170,4,239,239|309|480|890
171,4,239,239|310|480|889
172,4,239,239|311|480|888
173,4,239,239|312|480|887
174,4,239,239|313|480|886
175,4,239,239|314|480|885
176,4,239,239|315|480|884
177,4,239,239|316|480|883
178,4,239,239|317|480|882
179,4,239,239|318|480|881
180,4,239,239|319|480|880
181,4,239,239|320|480|879
182,4,239,239|321|480|878
183,4,239,239|322|480|877
184,4,239,239|323|480|876
185,4,239,239|324|480|875
186,4,239,239|325|480|874
187,4,239,239|326|480|873
188,4,239,239|327|480|872
189,4,239,239|328|480|871
190,4,239,239|329|480|870
191,4,239,239|330|480|869
192,4,239,239|331|480|868
193,4,239,239|332|480|867
194,4,239,239|333|480|866
195,4,239,239|334|480|865
196,4,239,239|335|480|864
197,4,239,239|336|480|863
198,4,239,239|337|480|862
199,4,239,239|338|480|861
200,4,239,239|339|480|860
201,4,239,239|340|480|859
202,4,239,239|341|480|858
203,4,239,239|342|480|857
204,4,239,239|343|480|856
205,4,239,239|344|480|855
206,4,239,239|345|480|854
207,4,239,239|346|480|853
208,4,239,239|347|480|852
209,4,239,239|348|480|851
210,4,239,239|349|480|850
211,4,239,239|350|480|849
212,4,239,239|351|480|848
213,4,239,239|352|480|847
214,4,239,239|353|480|846
215,4,239,239|354|480|845
216,4,239,239|355|480|844
217,4,239,239|356|480|843
218,4,239,239|357|480|842
219,4,239,239|358|480|841
220,4,239,239|359|480|840
221,4,239,239|360|480|839
222,4,239,239|361|480|838
223,4,239,239|362|480|837
224,4,239,239|363|480|836
225,4,239,239|364|480|835
226,4,239,239|365|480|834
227,4,239,239|366|480|833
228,4,239,239|367|480|832
229,4,239,239|368|480|831
230,4,239,239|369|480|830
231,4,239,239|370|480|829
232,4,239,239|371|480|828
233,4,239,239|372|480|827
234,4,239,239|373|480|826
235,4,239,239|374|480|825
236,4,239,239|375|480|824
237,4,239,239|376|480|823
238,4,239,239|377|480|822
239,4,239,239|378|480|821
240,4,239,239|379|480|820
241,4,239,239|380|480|819
242,4,239,239|381|480|818
243,4,239,239|382|480|817
244,4,239,239|383|480|816
245,4,239,239|384|480|815
246,4,239,239|385|480|814
247,4,239,239|386|480|813
248,4,239,239|387|480|812
249,4,239,239|388|480|811
250,4,239,239|389|480|810
251,4,239,239|390|480|809
252,4,239,239|391|480|808
253,4,239,239|392|480|807
254,4,239,239|393|480|806
255,4,239,239|394|480|805
256,4,239,239|395|480|804
257,4,239,239|396|480|803
258,4,239,239|397|480|802
259,4,239,239|398|480|801
260,4,239,239|399|480|800
261,4,239,239|400|480|799
262,4,239,239|401|480|798
263,4,239,239|402|480|797
264,4,239,239|403|480|796
265,4,239,239|404|480|795
266,4,239,239|405|480|794
267,4,239,239|406|480|793
268,4,239,239|407|480|792
269,4,239,239|408|480|791
270,4,239,239|409|480|790
271,4,239,239|410|480|789
272,4,239,239|411|480|788
273,4,239,239|412|480|787
274,4,239,239|413|480|786
275,4,239,239|414|480|785
276,4,239,239|415|480|784
277,4,239,239|416|480|783
278,4,239,239|417|480|782
279,4,239,239|418|480|781
280,4,239,239|419|480|780
281,4,239,239|420|480|779
282,4,239,239|421|480|778
283,4,239,239|422|480|777
284,4,239,239|479|719|959
285,6,0,239|183|1|0|56|238
286,6,0,239|184|2|0|55|237
287,6,0,239|185|3|0|54|236
288,6,0,239|186|4|0|53|235
289,6,0,239|187|5|0|52|234
290,6,0,239|188|6|0|51|233
291,6,0,239|189|7|0|50|232
292,6,0,239|190|8|0|49|231
293,6,0,239|191|9|0|48|230
294,6,0,239|192|10|0|47|229
295,6,0,239|193|11|0|46|228
296,6,0,239|194|12|0|45|227
297,6,0,239|195|13|0|44|226
298,6,0,239|196|14|0|43|225
299,6,0,239|197|15|0|42|224
300,6,0,239|198|16|0|41|223
301,6,0,239|199|17|0|40|222
302,6,0,239|200|18|0|39|221
303,6,0,239|201|19|0|38|220
304,6,0,239|202|20|0|37|219
305,6,0,239|203|21|0|36|218
306,6,0,239|204|22|0|35|217
307,6,0,239|205|23|0|34|216
308,6,0,239|206|24|0|33|215
309,6,0,239|207|25|0|32|214
310,6,0,239|208|26|0|31|213
311,6,0,239|209|27|0|30|212
312,6,0,239|210|28|0|29|211
313,6,1,239|481|56|719|1|536
314,6,1,239|663|1|480|56|718
315,6,2,239|482|55|719|2|535
316,6,2,239|664|2|480|55|717
317,6,3,239|483|54|719|3|534
318,6,3,239|665|3|480|54|716
319,6,4,239|484|53|719|4|533
320,6,4,239|666|4|480|53|715
321,6,5,239|485|52|719|5|532
322,6,5,239|667|5|480|52|714
323,6,6,239|486|51|719|6|531
324,6,6,239|668|6|480|51|713
325,6,7,239|487|50|719|7|530
326,6,7,239|669|7|480|50|712
327,6,8,239|488|49|719|8|529
328,6,8,239|670|8|480|49|711
329,6,9,239|489|48|719|9|528
330,6,9,239|671|9|480|48|710
331,6,10,239|490|47|719|10|527
332,6,10,239|672|10|480|47|709
333,6,11,239|491|46|719|11|526
334,6,11,239|673|11|480|46|708
335,6,12,239|492|45|719|12|525
336,6,12,239|674|12|480|45|707
337,6,13,239|493|44|719|13|524
338,6,13,239|675|13|480|44|706
339,6,14,239|494|43|719|14|523
340,6,14,239|676|14|480|43|705
341,6,15,239|495|42|719|15|522
342,6,15,239|677|15|480|42|704
343,6,16,239|496|41|719|16|521
344,6,16,239|678|16|480|41|703
345,6,17,239|497|40|719|17|520
346,6,17,239|679|17|480|40|702
347,6,18,239|498|39|719|18|519
348,6,18,239|680|18|480|39|701
349,6,19,239|499|38|719|19|518
350,6,19,239|681|19|480|38|700
351,6,20,239|500|37|719|20|517
352,6,20,239|682|20|480|37|699
353,6,21,239|501|36|719|21|516
354,6,21,239|683|21|480|36|698
355,6,22,239|502|35|719|22|515
356,6,22,239|684|22|480|35|697
357,6,23,239|503|34|719|23|514
358,6,23,239|685|23|480|34|696
359,6,24,239|504|33|719|24|513
360,6,24,239|686|24|480|33|695
361,6,25,239|505|32|719|25|512
362,6,25,239|687|25|480|32|694
363,6,26,239|506|31|719|26|511
364,6,26,239|688|26|480|31|693
365,6,27,239|507|30|719|27|510
366,6,27,239|689|27|480|30|692
367,6,28,239|508|29|719|28|509
368,6,28,239|690|28|480|29|691
369,12,1,239|241|536|959|1|296|719|721|56|479|481|776
370,12,1,239|423|481|720|56|478|719|903|1|240|536|958
371,12,2,239|242|535|959|2|295|719|722|55|479|482|775
372,12,2,239|424|482|720|55|477|719|904|2|240|535|957
373,12,3,239|243|534|959|3|294|719|723|54|479|483|774
374,12,3,239|425|483|720|54|476|719|905|3|240|534|956
375,12,4,239|244|533|959|4|293|719|724|53|479|484|773
376,12,4,239|426|484|720|53|475|719|906|4|240|533|955
377,12,5,239|245|532|959|5|292|719|725|52|479|485|772
378,12,5,239|427|485|720|52|474|719|907|5|240|532|954
379,12,6,239|246|531|959|6|291|719|726|51|479|486|771
380,12,6,239|428|486|720|51|473|719|908|6|240|531|953
381,12,7,239|247|530|959|7|290|719|727|50|479|487|770
382,12,7,239|429|487|720|50|472|719|909|7|240|530|952
383,12,8,239|248|529|959|8|289|719|728|49|479|488|769
384,12,8,239|430|488|720|49|471|719|910|8|240|529|951
385,12,9,239|249|528|959|9|288|719|729|48|479|489|768
386,12,9,239|431|489|720|48|470|719|911|9|240|528|950
387,12,10,239|250|527|959|10|287|719|730|47|479|490|767
388,12,10,239|432|490|720|47|469|719|912|10|240|527|949
389,12,11,239|251|526|959|11|286|719|731|46|479|491|766
390,12,11,239|433|491|720|46|468|719|913|11|240|526|948
391,12,12,239|252|525|959|12|285|719|732|45|479|492|765
392,12,12,239|434|492|720|45|467|719|914|12|240|525|947
393,12,13,239|253|524|959|13|284|719|733|44|479|493|764
394,12,13,239|435|493|720|44|466|719|915|13|240|524|946
395,12,14,239|254|523|959|14|283|719|734|43|479|494|763
396,12,14,239|436|494|720|43|465|719|916|14|240|523|945
397,12,15,239|255|522|959|15|282|719|735|42|479|495|762
398,12,15,239|437|495|720|42|464|719|917|15|240|522|944
399,12,16,239|256|521|959|16|281|719|736|41|479|496|761
400,12,16,239|438|496|720|41|463|719|918|16|240|521|943
401,12,17,239|257|520|959|17|280|719|737|40|479|497|760
402,12,17,239|439|497|720|40|462|719|919|17|240|520|942
403,12,18,239|258|519|959|18|279|719|738|39|479|498|759
404,12,18,239|440|498|720|39|461|719|920|18|240|519|941
405,12,19,239|259|518|959|19|278|719|739|38|479|499|758
406,12,19,239|441|499|720|38|460|719|921|19|240|518|940
407,12,20,239|260|517|959|20|277|719|740|37|479|500|757
408,12,20,239|442|500|720|37|459|719|922|20|240|517|939
409,12,21,239|261|516|959|21|276|719|741|36|479|501|756
410,12,21,239|443|501|720|36|458|719|923|21|240|516|938
411,12,22,239|262|515|959|22|275|719|742|35|479|502|755
412,12,22,239|444|502|720|35|457|719|924|22|240|515|937
413,12,23,239|263|514|959|23|274|719|743|34|479|503|754
414,12,23,239|445|503|720|34|456|719|925|23|240|514|936
415,12,24,239|264|513|959|24|273|719|744|33|479|504|753
416,12,24,239|446|504|720|33|455|719|926|24|240|513|935
417,12,25,239|265|512|959|25|272|719|745|32|479|505|752
418,12,25,239|447|505|720|32|454|719|927|25|240|512|934
419,12,26,239|266|511|959|26|271|719|746|31|479|506|751
420,12,26,239|448|506|720|31|453|719|928|26|240|511|933
421,12,27,239|267|510|959|27|270|719|747|30|479|507|750
422,12,27,239|449|507|720|30|452|719|929|27|240|510|932
423,12,28,239|268|509|959|28|269|719|748|29|479|508|749
424,12,28,239|450|508|720|29|451|719|930|28|240|509|931
