strategy,run_idx,candidate_lock_flag,propagating_flag,period,clock_signature_drift,phase_signature_std_mean,centroid_displacement,nonvac_final
random4,29,False,False,,0.8070736692437572,0.05245353356032892,0.2524193296466706,3738
random4,30,False,False,,0.7433295565626944,0.04836211326386364,0.24539228787132944,3732
random4,31,False,False,,0.6495767795254599,0.04389005710354141,0.2562526737725864,3735
random4,32,False,False,,0.7702612636630232,0.0496412584754031,0.2478115804201855,3730
random4,33,False,False,,0.33639918244023814,0.024530225660220034,0.2444443761317458,3733
random4,34,False,False,,0.8368490624722296,0.05129138412530001,0.24788829885697647,3736
random4,35,False,False,,0.6562416688882964,0.04506058525139383,0.2577867257503018,3586
random4,36,False,False,,0.5791122367368702,0.04169081303684549,0.24971111478012598,3737
random4,37,False,False,,0.6254165555851773,0.0436408690369949,0.2519478842773002,3741
random4,38,False,False,,0.7985426108593264,0.05097733394125465,0.25331419684588746,3607
random4,39,False,False,,0.8212976539589443,0.05142466609802986,0.2524230119803966,3733
random4,40,False,False,,0.7437127877010575,0.04863749819427466,0.24777196394612563,3632
random4,41,False,False,,0.7573647027459346,0.049840582227717,0.24471142738005333,3740
random4,42,False,False,,0.6422898338220918,0.04344635582738627,0.24875276510055236,3739
random4,43,False,False,,0.7620023549275748,0.0486242459907295,0.2527628014638244,3609
random4,44,False,False,,0.8291899937794366,0.04964615492476527,0.24718017626208239,3614
random4,45,False,False,,0.7555873989158446,0.04860148221060837,0.24867663219930386,3731
random4,46,False,False,,0.6321425397671732,0.04142971043313131,0.24993379119518874,3736
random4,47,False,False,,0.6450835332800142,0.04500392040065873,0.27274149490112,3617
random4,48,False,False,,0.7773482626855062,0.05066229486000076,0.2489515643304983,3731
random4,49,False,False,,0.755104194437039,0.05033020090742907,0.25083674105467635,3734
random4,50,False,False,,0.60311694659202,0.04154893319132206,0.24246778065443172,3729
random4,51,False,False,,0.7503221363192037,0.04776370214468648,0.24242432149305926,3605
random4,52,False,False,,0.6925597618412868,0.04602464853699556,0.24709794705014657,3738
random4,53,False,False,,0.7649682306940372,0.05093101796235222,0.2494741347572188,3738
random4,54,False,False,,0.6029892028792322,0.0416559974984404,0.248151263262694,3739
random4,55,False,False,,0.7632075890873545,0.04942321656492604,0.24966487126611872,3739
random4,56,False,False,,0.7575479872034124,0.0499922955525449,0.2581206637040765,3738
random4,57,False,False,,0.4952956989247312,0.03568505528354195,0.2569601843959982,3731
random4,58,False,False,,0.7100717586421398,0.04704817006552844,0.2523957221629581,3602
random4,59,False,False,,0.6059217541988803,0.04198753353915807,0.24785642232842456,3739
random4,60,False,False,,0.7513329778725674,0.04982235104273535,0.25446862746590165,3740
random4,61,False,False,,0.6715598062738825,0.046061260913956285,0.25382794502857847,3738
random4,62,False,False,,0.6992857460232825,0.04280369043029548,0.2500966224115643,3732
random4,63,False,False,,0.7801364080689593,0.05134710280137015,0.2481235895116795,3739
random4,64,False,False,,0.765157069225984,0.05005541846197462,0.24504928184944627,3732
random4,65,False,False,,0.7726495156847063,0.05111338483262875,0.2524121945089815,3735
random4,66,False,False,,0.8306951479605438,0.05186226307861471,0.25134727972493126,3729
random4,67,False,False,,0.4300797565093753,0.032104335116564534,0.24813405433587563,3737
random4,68,False,False,,0.7625855327468231,0.049111544317831164,0.24737368338675206,3742
random4,69,False,False,,0.8450357682395806,0.052736173729934915,0.25161126355595237,3736
random4,70,False,False,,0.625383231138363,0.043883165470828815,0.246268028046653,3739
random4,71,False,False,,0.7774038034301963,0.04476803699263459,0.23954148076447757,3601
random4,72,False,False,,0.774965564738292,0.05032403855649545,0.2482327983367075,3730
random4,73,False,False,,0.6956311650226606,0.04343335831285974,0.2470902538455428,3731
random4,74,False,False,,0.7788312005687373,0.051079646951222975,0.25340879334883687,3734
random4,75,False,False,,0.7620912201190794,0.04990572385808827,0.2504102537678476,3585
random4,76,False,False,,0.6730371900826446,0.04440593267100132,0.25134774989432773,3734
random4,77,False,False,,0.4837043455078646,0.03664015290685765,0.24921156756761836,3739
random4,78,False,False,,0.7948769217097663,0.049558159234101555,0.24849043148832028,3734
random4,79,False,False,,0.7637518883853195,0.05016057968517434,0.2563493107769209,3600
random4,80,False,False,,0.606971474273527,0.042470385059455516,0.25499641966321296,3734
random4,81,False,False,,0.6056662667733049,0.0407376582295387,0.2502894815987516,3737
random4,82,False,False,,0.7987758819870256,0.05291594540606554,0.24631665247172246,3735
random4,83,False,False,,0.774621212121212,0.05011575623192734,0.24986111598492985,3737
random4,84,False,False,,0.6715486981249444,0.045922986589253416,0.24606829634880115,3736
random4,85,False,False,,0.7430407446903048,0.04910569728687611,0.25522519838691593,3729
random4,86,False,False,,0.6250666488936284,0.04371979451479685,0.25301170948576795,3741
random4,87,False,False,,0.8373322669510354,0.05188431662378109,0.25127916547710255,3731
random4,88,False,False,,0.7873844752510442,0.051891501265688623,0.2521062330946132,3736
random4,89,False,False,,0.7779258864302853,0.051240900764248594,0.24914659296745656,3738
random4,90,False,False,,0.513490846885275,0.036951134680213694,0.248689451740708,3733
random4,91,False,False,,0.6033224473473741,0.04269592929049917,0.24947473715673454,3733
random4,92,False,False,,0.7452623744779171,0.04920126348481162,0.25428878324915616,3739
random4,93,False,False,,0.7998644805829557,0.051920480390091915,0.24916845224558992,3730
random4,94,False,False,,0.7087943215142629,0.0430007928648354,0.255243150699846,3733
random4,95,False,False,,0.7602306051719542,0.05044786336548248,0.25132239696643527,3741
random4,96,False,False,,0.7550097751710654,0.0498248864466679,0.25005062082882035,3737
