class_id,count,score_photon_like_mean,score_neutrino_like_mean,score_electron_like_mean,score_quark_core_like_mean,score_mediator_w_like_mean,score_unstable_crossmix_like_mean,top_role_1,top_role_1_score,top_role_2,top_role_2_score,top_role_3,top_role_3_score
SC0094,8,0.04375,0.3703125,0.3083333333333333,0.38125,0.2947916666666667,0.6998316080560145,unstable_crossmix_like,0.6998316080560145,quark_core_like,0.38125,neutrino_like,0.3703125
SC0095,8,0.05,0.08203125,0.48697916666666674,0.5687500000000001,0.22708333333333336,0.6545784135726687,unstable_crossmix_like,0.6545784135726687,quark_core_like,0.5687500000000001,electron_like,0.48697916666666674
SC0096,8,0.05,0.08203125,0.42447916666666674,0.5687500000000001,0.28958333333333336,0.7170784135726687,unstable_crossmix_like,0.7170784135726687,quark_core_like,0.5687500000000001,electron_like,0.42447916666666674
SC0097,8,0.05,0.08203125,0.4744791666666667,0.5687500000000001,0.23958333333333337,0.6670784135726686,unstable_crossmix_like,0.6670784135726686,quark_core_like,0.5687500000000001,electron_like,0.4744791666666667
SC0098,8,0.05,0.08203125,0.42447916666666674,0.5687500000000001,0.28958333333333336,0.7170784135726687,unstable_crossmix_like,0.7170784135726687,quark_core_like,0.5687500000000001,electron_like,0.42447916666666674
SC0099,8,0.028125,0.04296875,0.5890624999999999,0.609375,0.24062500000000003,0.6790575802393353,unstable_crossmix_like,0.6790575802393353,quark_core_like,0.609375,electron_like,0.5890624999999999
SC0100,8,0.028125,0.04296875,0.4296875,0.609375,0.6500000000000001,0.6884325802393352,unstable_crossmix_like,0.6884325802393352,mediator_w_like,0.6500000000000001,quark_core_like,0.609375
SC0101,8,0.028125,0.04296875,0.4015625,0.609375,0.6781250000000001,0.7165575802393352,unstable_crossmix_like,0.7165575802393352,mediator_w_like,0.6781250000000001,quark_core_like,0.609375
SC0102,8,0.04375,0.3703125,0.20729166666666668,0.38125,0.6458333333333334,0.6508732747226812,unstable_crossmix_like,0.6508732747226812,mediator_w_like,0.6458333333333334,quark_core_like,0.38125
SC0103,8,0.24375000000000002,0.5703125,0.14375,0.38125,0.9093750000000002,0.7144149413893479,mediator_w_like,0.9093750000000002,unstable_crossmix_like,0.7144149413893479,neutrino_like,0.5703125
